index,timestamp_ms,samples,cum_samples,cum_ms_by_samples,drift_ms,peak_int16
1,0,2756,2756,249.977324,-249.977324,16348
2,125,2756,5512,499.954649,-374.954649,16373
3,250,2756,8268,749.931973,-499.931973,16330
4,375,2756,11024,999.909297,-624.909297,16369
5,500,2756,13780,1249.886621,-749.886621,16369
6,625,2756,16536,1499.863946,-874.863946,16351
7,750,2756,19292,1749.841270,-999.841270,16373
8,875,2756,22048,1999.818594,-1124.818594,16376
9,1000,2756,24804,2249.795918,-1249.795918,16376
10,1125,2756,27560,2499.773243,-1374.773243,16373
11,1250,2756,30316,2749.750567,-1499.750567,16351
12,1375,2756,33072,2999.727891,-1624.727891,16369
13,1500,2756,35828,3249.705215,-1749.705215,16369
14,1625,2756,38584,3499.682540,-1874.682540,16330
15,1750,2756,41340,3749.659864,-1999.659864,16373
16,1875,2756,44096,3999.637188,-2124.637188,16348
17,2000,2756,46852,4249.614512,-2249.614512,16353
18,2125,2756,49608,4499.591837,-2374.591837,16372
19,2250,2756,52364,4749.569161,-2499.569161,16358
20,2375,2756,55120,4999.546485,-2624.546485,16371
21,2500,2756,57876,5249.523810,-2749.523810,16371
22,2625,2756,60632,5499.501134,-2874.501134,16368
23,2750,2756,63388,5749.478458,-2999.478458,16371
24,2875,2756,66144,5999.455782,-3124.455782,16377
25,3000,2756,68900,6249.433107,-3249.433107,16377
26,3125,2756,71656,6499.410431,-3374.410431,16371
27,3250,2756,74412,6749.387755,-3499.387755,16368
28,3375,2756,77168,6999.365079,-3624.365079,16371
29,3500,2756,79924,7249.342404,-3749.342404,16371
30,3625,2756,82680,7499.319728,-3874.319728,16358
31,3750,2756,85436,7749.297052,-3999.297052,16372
32,3875,2756,88192,7999.274376,-4124.274376,16353
33,4000,2756,90948,8249.251701,-4249.251701,16348
34,4125,2756,93704,8499.229025,-4374.229025,16373
35,4250,2756,96460,8749.206349,-4499.206349,16330
36,4375,2756,99216,8999.183673,-4624.183673,16369
