cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
1,0,1065,3072,0,normal,5384,0.594175,0.000000,0.000000,0.000000,0.000000,0.000000,0.055541,0.989956,0.278700,0,0,0,5988
2,1,1425,11008,7936,normal,7936,0.589247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315362,0.071388,0,0,0,149
3,2,1796,19200,8192,normal,8192,0.585146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214305,0.040883,0,0,0,151
4,3,2063,25088,5888,normal,5888,0.586173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.189738,0.034781,0,0,0,150
5,4,2423,33024,7936,normal,7936,0.590333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214552,0.047113,0,0,0,151
6,5,2795,41216,8192,normal,8192,0.594389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.779520,0.169657,0,0,0,161
7,6,3062,47104,5888,normal,5888,0.593623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816646,0.179253,0,0,0,168
8,7,3422,55040,7936,normal,7936,0.589351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.241270,0.048346,0,0,0,152
9,8,3793,63232,8192,normal,8192,0.585583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.337222,0.072987,0,0,0,156
10,9,4060,69120,5888,normal,5888,0.586128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.817135,0.184948,0,0,0,158
11,10,4432,77312,8192,normal,8192,0.590974,0.000000,0.000000,0.000000,0.000000,0.000000,0.439861,1.000000,0.127906,0,0,0,155
12,11,4792,85248,7936,normal,7936,0.594745,0.000000,0.000000,0.000000,0.000000,0.000000,0.348213,1.000000,0.168960,0,0,0,155
13,12,5059,91136,5888,normal,5888,0.594030,0.000000,0.000000,0.000000,0.000000,0.000000,0.090599,1.000000,0.313174,0,0,0,152
14,13,5430,99328,8192,normal,8192,0.589188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.658390,0.142812,0,0,0,159
15,14,5790,107264,7936,normal,7936,0.585568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263099,0.052234,0,0,0,153
16,15,6057,113152,5888,normal,5888,0.586007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.251017,0.048637,0,0,0,154
17,16,6429,121344,8192,normal,8192,0.590771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283655,0.064794,0,0,0,153
18,17,6789,129280,7936,normal,7936,0.594346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.845847,0.197021,0,0,0,154
19,18,7056,135168,5888,normal,5888,0.593906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.892124,0.213734,0,0,0,153
20,19,7427,143360,8192,normal,8192,0.588916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295966,0.054506,0,0,0,156
21,20,7787,151296,7936,normal,7936,0.585285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330657,0.074413,0,0,0,151
22,21,8054,157184,5888,normal,5888,0.585757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.882110,0.193035,0,0,0,150
