cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
1,0,1065,3072,0,normal,5384,0.594175,0.000000,0.000000,0.000000,0.000000,0.000000,0.055540,0.989956,0.278700,0,0,0,3872
2,1,4931,88320,85248,normal,16537,0.594876,0.000000,0.000000,0.000000,0.000000,0.000000,0.121046,1.000000,0.280737,1,1,0,246
3,2,5163,93440,5120,normal,5120,0.593124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000102,0.693622,0.193744,1,1,0,245
4,3,5430,99328,5888,normal,5888,0.589188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.507216,0.110552,1,1,0,248
5,4,5662,104448,5120,normal,5120,0.586170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208830,0.043641,1,1,0,247
6,5,5929,110336,5888,normal,5888,0.585316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.225237,0.042421,1,1,0,247
7,6,6162,115456,5120,normal,5120,0.587015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.253273,0.050052,1,1,0,247
8,7,6429,121344,5888,normal,5888,0.590771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.290717,0.066741,1,1,0,248
9,8,6661,126464,5120,normal,5120,0.593446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.723443,0.158721,1,1,0,247
10,9,6928,132352,5888,normal,5888,0.594492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985910,0.244912,1,1,0,247
11,10,7160,137472,5120,normal,5120,0.592754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.648206,0.148176,1,1,0,247
12,11,7427,143360,5888,normal,5888,0.588916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335087,0.062177,1,1,0,247
13,12,7659,148480,5120,normal,5120,0.586220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.395574,0.074818,1,1,0,246
14,13,7926,154368,5888,normal,5888,0.585204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.714965,0.154145,1,1,0,248
15,14,8159,159488,5120,normal,5120,0.587204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.256933,1,1,0,247
16,15,8426,165376,5888,normal,5888,0.590682,0.000000,0.000000,0.000000,0.000000,0.000000,0.459106,1.000000,0.114112,1,1,0,247
17,16,8658,170496,5120,normal,5120,0.593843,0.000000,0.000000,0.000000,0.000000,0.000000,0.466346,1.000000,0.145148,1,1,0,247
18,17,8925,176384,5888,normal,5888,0.594721,0.000000,0.000000,0.000000,0.000000,0.000000,0.214109,1.000000,0.242010,1,1,0,247
19,18,9157,181504,5120,normal,5120,0.593113,0.000000,0.000000,0.000000,0.000000,0.000000,0.007429,0.993956,0.292007,1,1,0,247
